groupsize,protocol,operation,clientrole,setuptime,operationtime
128,FULL,add,RECIPIENT,37.350767,31.825889
128,FULL,add,RECIPIENT,28.829645,30.60134
128,FULL,add,RECIPIENT,30.975543,33.335819
128,FULL,add,RECIPIENT,30.028352,33.221527
128,FULL,add,RECIPIENT,28.666002,32.915838
128,FULL,add,RECIPIENT,30.612231,31.648444
128,FULL,add,RECIPIENT,29.373658,32.913497
128,FULL,add,RECIPIENT,28.93767,32.886048
128,FULL,add,RECIPIENT,29.215816,35.122804
128,FULL,add,RECIPIENT,29.236299,31.402531
128,FULL,add,RECIPIENT,29.023575,32.585408
128,FULL,add,RECIPIENT,29.023234,33.194045
128,FULL,add,RECIPIENT,29.761954,34.760973
128,FULL,add,RECIPIENT,32.817307,33.236189
128,FULL,add,RECIPIENT,34.63887,33.798759
128,FULL,add,RECIPIENT,28.910864,35.23048
128,FULL,add,RECIPIENT,29.086842,32.805929
128,FULL,add,RECIPIENT,28.945376,33.508402
128,FULL,add,RECIPIENT,29.331283,31.641861
128,FULL,add,RECIPIENT,29.143863,32.777087
128,FULL,add,RECIPIENT,29.57118,34.056054
128,FULL,add,RECIPIENT,29.3275,31.593922
128,FULL,add,RECIPIENT,29.319014,32.80347
128,FULL,add,RECIPIENT,31.304149,35.308504
128,FULL,add,RECIPIENT,28.542322,32.88398
128,FULL,add,RECIPIENT,30.053771,32.587859
128,FULL,add,RECIPIENT,30.400383,34.585728
128,FULL,add,RECIPIENT,29.813918,32.947277
128,FULL,add,RECIPIENT,28.847938,32.636583
128,FULL,add,RECIPIENT,30.049765,33.818422
128,FULL,add,RECIPIENT,29.907758,33.15705
128,FULL,add,RECIPIENT,29.163587,33.675239
128,FULL,add,RECIPIENT,29.659422,33.112711
128,FULL,add,RECIPIENT,33.265749,34.69699
128,FULL,add,RECIPIENT,31.175846,34.228859
128,FULL,add,RECIPIENT,29.793194,32.842556
128,FULL,add,RECIPIENT,30.741337,31.361428
128,FULL,add,RECIPIENT,29.341312,32.076222
128,FULL,add,RECIPIENT,32.699308,32.791425
